app.modal.install-to-play.required-modpack	Required modpack	components\ui\modal\InstallToPlayModal.vue
app.modal.install-to-play.shared-instance	Shared instance	components\ui\modal\InstallToPlayModal.vue
app.modal.install-to-play.mod-count	{count, plural, one {# mod} other {# mods}}	components\ui\modal\InstallToPlayModal.vue
app.modal.install-to-play.install-button	Install	components\ui\modal\InstallToPlayModal.vue
app.modal.install-to-play.view-contents	View contents	components\ui\modal\InstallToPlayModal.vue
app.instance.modpack-already-installed.header	Modpack already installed	components\ui\modal\ModpackAlreadyInstalledModal.vue
app.instance.modpack-already-installed.body	This modpack is already installed in the <bold>{instanceName}</bold> instance. Are you sure you want to duplicate it?	components\ui\modal\ModpackAlreadyInstalledModal.vue
app.instance.modpack-already-installed.instance	Instance	components\ui\modal\ModpackAlreadyInstalledModal.vue
app.instance.modpack-already-installed.create	Create	components\ui\modal\ModpackAlreadyInstalledModal.vue
app.modal.update-to-play.header	Update to play	components\ui\modal\UpdateToPlayModal.vue
app.modal.update-to-play.update-required	Update required	components\ui\modal\UpdateToPlayModal.vue
app.modal.update-to-play.update-required-description	An update is required to play {name}. Please update to the latest version to launch the game.	components\ui\modal\UpdateToPlayModal.vue
app.modpack-version.header	Change modpack version	components\ui\ModpackVersionModal.vue
app.modpack-version.name	Name	components\ui\ModpackVersionModal.vue
app.modpack-version.supports	Supports	components\ui\ModpackVersionModal.vue
app.pride-fundraiser.title	Open Pride fundraiser	components\ui\PrideFundraiserBanner.vue
app.pride-fundraiser.dismiss	Dismiss Pride fundraiser	components\ui\PrideFundraiserBanner.vue
app.pride-fundraiser.of	of	components\ui\PrideFundraiserBanner.vue
app.pride-fundraiser.supporter	supporter	components\ui\PrideFundraiserBanner.vue
app.pride-fundraiser.supporters	supporters	components\ui\PrideFundraiserBanner.vue
app.pride-fundraiser.day-left	day left	components\ui\PrideFundraiserBanner.vue
app.pride-fundraiser.days-left	days left	components\ui\PrideFundraiserBanner.vue
app.instance.resource-pack.search-placeholder	Search {count} packs...	components\ui\ResourcePackManager.vue
app.instance.resource-pack.open-folder	Open folder	components\ui\ResourcePackManager.vue
app.instance.resource-pack.add-from-file	Add from file	components\ui\ResourcePackManager.vue
app.instance.resource-pack.delete	Delete	components\ui\ResourcePackManager.vue
app.instance.resource-pack.empty-heading	No packs installed	components\ui\ResourcePackManager.vue
app.instance.resource-pack.empty-description	Add a pack file to get started	components\ui\ResourcePackManager.vue
app.instance.resource-pack.added	Pack added	components\ui\ResourcePackManager.vue
app.instance.resource-pack.deleted	Pack deleted	components\ui\ResourcePackManager.vue
app.instance.resource-pack.confirm-delete	Are you sure you want to delete "{name}"?	components\ui\ResourcePackManager.vue
app.appearance-settings.color-theme.title	Color theme	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.color-theme.description	Select your preferred color theme for Modrinth App.	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.advanced-rendering.title	Advanced rendering	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.advanced-rendering.description	Enables advanced rendering such as blur effects that may cause performance issues without hardware-accelerated rendering.	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.hide-nametag.title	Hide nametag	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.hide-nametag.description	Disables the nametag above your player on the skins page.	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.native-decorations.title	Native decorations	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.native-decorations.description	Use system window frame (app restart required).	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.minimize-launcher.title	Launcher visibility	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.minimize-launcher.description	Behavior of the launcher window when a Minecraft process starts.	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.default-landing-page.title	Default landing page	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.default-landing-page.description	Change the page to which the launcher opens on.	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.default-landing-page.home	Home	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.default-landing-page.library	Library	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.select-option	Select an option	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.jump-back-into-worlds.title	Jump back into worlds	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.jump-back-into-worlds.description	Includes recent worlds in the "Jump back in" section on the Home page.	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.toggle-sidebar.title	Toggle sidebar	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.toggle-sidebar.description	Enables the ability to toggle the sidebar.	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.unknown-pack-warning.title	Warn me before installing unknown modpacks	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.unknown-pack-warning.description	If you attempt to install a Modrinth Pack file (.mrpack) that isn't hosted on Modrinth, we'll make sure you understand the risks before installing it.	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.skip-non-essential-warnings.title	Skip non-essential warnings	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.skip-non-essential-warnings.description	Automatically skips low-risk confirmations like duplicate modpack installs, normal content deletion, bulk updates, unlinking modpacks, and repair prompts. Dangerous warnings will still be shown.	components\ui\settings\AppearanceSettings.vue
app.appearance-settings.show-play-time.title	Show play time	components\ui\settings\AppearanceSettings.vue
app.default-instance.fullscreen.title	Fullscreen	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.fullscreen.description	Overwrites the options.txt file to start in full screen when launched.	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.width.title	Width	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.width.description	The width of the game window when launched.	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.width.placeholder	Enter width...	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.height.title	Height	components\ui\settings\DefaultInstanceSettings.vue
